home_uid,host_uid,llm_label,llm_reason,label,checked
uns-pmf:I011,utwente:202500342,2,both teach the core of imperative programming; the host unit adds object orientation,2,yes
uns-pmf:I011,utwente:202300357,0,concurrency and compilers assume programming rather than teach it,0,yes
uns-pmf:I011,utwente:202500343,1,"continues the same programming line with exceptions, io and collections, not the introduction itself",1,yes
uns-pmf:I011,utwente:202500352,0,"databases, no programming fundamentals",0,yes
uns-pmf:I011,utwente:202400444,0,"project work on multi-tier systems, not an introduction to programming",0,yes
uns-pmf:I011,utwente:202500568,0,"functional and logic paradigms, a different programming model from the procedural one taught here",0,yes
uns-pmf:I011,utwente:202500331,1,"half of it is algorithmics and functional programming, overlapping only partly with procedural basics",1,yes
uns-pmf:I011,utwente:202500361,0,artificial intelligence and machine learning,0,yes
uns-pmf:I011,utwente:202500332,0,databases and intelligent interaction,0,yes
uns-pmf:I011,utwente:202500354,0,agile project work,0,yes
uns-pmf:I011,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I011,utwente:202500358,0,integration project across module subjects,0,yes
uns-pmf:I111,utwente:202500568,1,"the logic programming half touches resolution, the rest is programming",1,yes
uns-pmf:I111,utwente:202500361,1,"covers logic and probabilistic reasoning, a part of the home syllabus, inside an ai course",1,yes
uns-pmf:I111,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I111,utwente:202500332,0,databases and machine learning workflows,0,yes
uns-pmf:I111,utwente:202200022,1,knowledge representation and reasoning overlaps with predicate calculus and inference,1,yes
uns-pmf:I111,utwente:202500333,1,"boolean logic and switching circuits appear in both, but as one half of a hardware course",1,yes
uns-pmf:I111,utwente:202300357,0,concurrency and compiler construction,0,yes
uns-pmf:I111,utwente:202001047,0,group project on network topics,0,yes
uns-pmf:I111,utwente:202500342,0,imperative programming,0,yes
uns-pmf:I111,utwente:202200024,0,data science project,0,yes
uns-pmf:I111,utwente:202500356,0,processor architecture; boolean algebra only as background,0,yes
uns-pmf:I111,utwente:202500352,0,relational databases and sql,0,yes
uns-pmf:I112,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I112,utwente:202500334,0,cryptography and law,0,yes
uns-pmf:I112,utwente:202001033,0,"statistics, not analysis of real functions",0,yes
uns-pmf:I112,utwente:202500568,0,programming paradigms,0,yes
uns-pmf:I112,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I112,utwente:202500333,0,computer architecture,0,yes
uns-pmf:I112,utwente:202001047,0,web science project,0,yes
uns-pmf:I112,utwente:202500352,0,databases,0,yes
uns-pmf:I112,utwente:202500332,0,databases and intelligent interaction,0,yes
uns-pmf:I112,utwente:202500343,0,programming,0,yes
uns-pmf:I112,utwente:202200024,0,data science project,0,yes
uns-pmf:I112,utwente:202500362,0,user experience design,0,yes
uns-pmf:I112,utwente:202400362,0,networking project,0,yes
uns-pmf:I112,utwente:202200023,0,explainable ai and ethics,0,yes
uns-pmf:I021,utwente:202300357,0,"concurrency and compilers, assumes data structures already known",0,yes
uns-pmf:I021,utwente:202500352,0,databases,0,yes
uns-pmf:I021,utwente:202500342,1,"builds on algorithms and recursion while teaching imperative programming, overlapping in part",1,yes
uns-pmf:I021,utwente:202400444,0,project on multi-tier systems,0,yes
uns-pmf:I021,utwente:202200021,0,neural network architectures per data type,0,yes
uns-pmf:I021,utwente:202500331,1,"the algorithmics half covers search, sorting and complexity but not the pointer-based data structures",1,yes
uns-pmf:I021,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I021,utwente:202500356,0,processor architecture,0,yes
uns-pmf:I021,utwente:202500343,1,manipulating collections touches the same material from the programming side,1,yes
uns-pmf:I021,utwente:202500332,0,databases and intelligent interaction,0,yes
uns-pmf:I021,utwente:202500568,0,functional and logic paradigms,0,yes
uns-pmf:I021,utwente:202500344,0,team implementation project,0,yes
uns-pmf:I021,utwente:202001045,0,"social network analysis, graph theory in a different context",0,yes
uns-pmf:I121,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I121,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I121,utwente:202500333,0,"digital circuits, not algebraic structures",0,yes
uns-pmf:I121,utwente:202500342,0,programming,0,yes
uns-pmf:I121,utwente:202001047,0,web science project,0,yes
uns-pmf:I121,utwente:202500356,0,processor architecture,0,yes
uns-pmf:I121,utwente:202500334,1,"the cryptography half uses modular arithmetic and number theory, which the home course founds",1,yes
uns-pmf:I121,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I121,utwente:202001045,0,"graph theory applied to social networks, not abstract algebra",0,yes
uns-pmf:I121,utwente:202500343,0,programming,0,yes
uns-pmf:I121,utwente:202001033,0,statistics,0,yes
uns-pmf:I121,utwente:202400362,0,networking project,0,yes
uns-pmf:I121,utwente:202500362,0,user experience design,0,yes
uns-pmf:I031,utwente:202200022,0,"data quality and reasoning, not data modelling",0,yes
uns-pmf:I032,utwente:202500342,2,"teaches the principles and constructs of object-oriented programming, the substance of the home course",2,yes
uns-pmf:I032,utwente:202300357,0,"concurrency and compilers, assumes object orientation",0,yes
uns-pmf:I032,utwente:202400444,0,multi-tier project work,0,yes
uns-pmf:I032,utwente:202500568,0,functional and logic paradigms,0,yes
uns-pmf:I032,utwente:202500352,0,databases,0,yes
uns-pmf:I032,utwente:202500343,1,"exceptions, io and collections continue the same object-oriented line without the introduction",1,yes
uns-pmf:I032,utwente:202500341,1,"class diagrams and design models overlap with the design half, not with the language",1,yes
uns-pmf:I032,utwente:202500354,0,agile project work,0,yes
uns-pmf:I032,utwente:202500344,1,a team project applying object-oriented programming rather than teaching it,1,yes
uns-pmf:I032,utwente:202500356,0,processor architecture,0,yes
uns-pmf:I032,utwente:202500331,0,algorithms and functional programming,0,yes
uns-pmf:I032,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I032,utwente:202500361,0,artificial intelligence,0,yes
uns-pmf:I032,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I032,utwente:202500351,0,web development and security,0,yes
uns-pmf:I033,utwente:202500331,1,"the algorithmics half covers search, sorting and complexity but not trees, dynamic programming or greedy methods",1,yes
uns-pmf:I033,utwente:202500352,0,databases,0,yes
uns-pmf:I033,utwente:202300357,0,concurrency and compilers,0,yes
uns-pmf:I033,utwente:202500332,0,databases and machine learning,0,yes
uns-pmf:I033,utwente:202500333,0,computer architecture and networks,0,yes
uns-pmf:I033,utwente:202500342,0,introductory programming,0,yes
uns-pmf:I033,utwente:202400444,0,project work,0,yes
