home_uid,stratum
uns-pmf:I011,programming
uns-pmf:I032,programming
uns-pmf:I141,programming
uns-pmf:I341,programming
uns-pmf:I263,programming
uns-pmf:I021,algorithms and theory
uns-pmf:I033,algorithms and theory
uns-pmf:I142,algorithms and theory
uns-pmf:I152,algorithms and theory
uns-pmf:I211,algorithms and theory
uns-pmf:I252,algorithms and theory
uns-pmf:I364,algorithms and theory
uns-pmf:I111,mathematics
uns-pmf:I112,mathematics
uns-pmf:I121,mathematics
uns-pmf:I122,mathematics
uns-pmf:I034,mathematics
uns-pmf:I144,mathematics
uns-pmf:I143,mathematics
uns-pmf:I162,mathematics
uns-pmf:I212,mathematics
uns-pmf:I222,mathematics
uns-pmf:I342,mathematics
uns-pmf:I351,mathematics
uns-pmf:I352,mathematics
uns-pmf:M-01,mathematics
uns-pmf:I051,systems and hardware
uns-pmf:I261,systems and hardware
uns-pmf:I242,systems and hardware
uns-pmf:I243,systems and hardware
uns-pmf:I321,systems and hardware
uns-pmf:I031,data and information systems
uns-pmf:I241,data and information systems
uns-pmf:I052,data and information systems
uns-pmf:I262,data and information systems
uns-pmf:I221,data and information systems
uns-pmf:I151,ai and graphics
uns-pmf:I161,ai and graphics
uns-pmf:I251,software engineering and projects
uns-pmf:I311,software engineering and projects
uns-pmf:I322,software engineering and projects
uns-pmf:I331,software engineering and projects
uns-pmf:I361,software engineering and projects
uns-pmf:M-02,non-cs electives
uns-pmf:M-09,non-cs electives
uns-pmf:M-15,non-cs electives
uns-pmf:M3-21,non-cs electives
uns-pmf:M3-22,non-cs electives
uns-pmf:M3-23,non-cs electives
uns-pmf:M-05,non-cs electives
