home_uid,host_uid,host_programme,label,reason,labelled_by
uns-pmf:I021,epfl:COM-490,epfl-cs-msc,0,Big-data engineering course with no coverage of basic data structures.,"claude, blind"
uns-pmf:I021,epfl:CS-420,epfl-cs-msc,0,Compiler implementation course assumes data structures.,"claude, blind"
uns-pmf:I021,epfl:CS-428,epfl-cs-msc,0,"Theorem proving course, different subject.","claude, blind"
uns-pmf:I021,epfl:CS-450,epfl-cs-msc,1,Graduate algorithms shares complexity analysis but not list/stack/queue implementation.,"claude, blind"
uns-pmf:I021,epfl:CS-453,epfl-cs-msc,0,"Concurrent algorithms and non-blocking objects, not basic lists and stacks.","claude, blind"
uns-pmf:I021,epfl:CS-460,epfl-cs-msc,0,"Data management systems, not elementary data structures.","claude, blind"
uns-pmf:I021,epfl:CS-462,epfl-cs-msc,0,"Programming language theory, different subject.","claude, blind"
uns-pmf:I021,epfl:CS-476,epfl-cs-msc,0,"Hardware buffers in embedded co-design, not software data structures.","claude, blind"
uns-pmf:I021,epfl:EE-452,epfl-cs-msc,0,"Graph machine learning, unrelated to linked data structures.","claude, blind"
uns-pmf:I032,epfl:CS-412,epfl-cs-msc,0,"Software security, not an OOP course.","claude, blind"
uns-pmf:I032,epfl:CS-420,epfl-cs-msc,0,Compiles OO languages but does not teach OO programming.,"claude, blind"
uns-pmf:I032,epfl:CS-428,epfl-cs-msc,0,"Theorem proving, different subject.","claude, blind"
uns-pmf:I032,epfl:CS-450,epfl-cs-msc,0,"Algorithms course, not OOP.","claude, blind"
uns-pmf:I032,epfl:CS-453,epfl-cs-msc,0,"Concurrency theory, not OOP.","claude, blind"
uns-pmf:I032,epfl:CS-462,epfl-cs-msc,0,"Language semantics theory, not OO programming practice.","claude, blind"
uns-pmf:I032,epfl:CS-473,epfl-cs-msc,0,"Embedded firmware programming, not OOP.","claude, blind"
uns-pmf:I032,epfl:CS-476,epfl-cs-msc,0,"Hardware-software co-design, not OOP.","claude, blind"
uns-pmf:I032,epfl:CS-522,epfl-cs-msc,0,"Systems design principles, not object-oriented programming.","claude, blind"
uns-pmf:I034,epfl:COM-512,epfl-cs-msc,0,Random graph models assume basic graph theory.,"claude, blind"
uns-pmf:I034,epfl:COM-516,epfl-cs-msc,0,"Markov chains, different subject.","claude, blind"
uns-pmf:I034,epfl:CS-448,epfl-cs-msc,0,"Sublinear algorithms, advanced and different.","claude, blind"
uns-pmf:I034,epfl:CS-450,epfl-cs-msc,0,Graduate algorithms assumes graph basics and lacks combinatorics.,"claude, blind"
uns-pmf:I034,epfl:CS-455,epfl-cs-msc,0,"Approximation algorithms, assumes discrete maths.","claude, blind"
uns-pmf:I034,epfl:CS-524,epfl-cs-msc,0,"Complexity theory, not combinatorics.","claude, blind"
uns-pmf:I034,epfl:EE-452,epfl-cs-msc,0,"Graph machine learning, not combinatorics and graph basics.","claude, blind"
uns-pmf:I034,epfl:MATH-483,epfl-cs-msc,0,"Computability and logic, not combinatorics.","claude, blind"
uns-pmf:I034,epfl:PHYS-512,epfl-cs-msc,0,"Statistical physics of computation, different subject.","claude, blind"
uns-pmf:I052,epfl:COM-502,epfl-cs-msc,0,"Dynamical systems theory, unrelated.","claude, blind"
uns-pmf:I052,epfl:CS-420,epfl-cs-msc,0,"Compiler construction, not UML modelling.","claude, blind"
uns-pmf:I052,epfl:CS-428,epfl-cs-msc,0,"Theorem proving, not UML modelling.","claude, blind"
uns-pmf:I052,epfl:CS-438,epfl-cs-msc,0,"Decentralized systems engineering, not UML modelling.","claude, blind"
uns-pmf:I052,epfl:CS-460,epfl-cs-msc,0,"Data systems, no UML modelling.","claude, blind"
uns-pmf:I052,epfl:CS-462,epfl-cs-msc,0,"Programming language theory, not UML.","claude, blind"
uns-pmf:I052,epfl:CS-473,epfl-cs-msc,0,"Embedded SoC programming, not UML modelling.","claude, blind"
