home_uid,host_uid,host_programme
uns-pmf:I021,epfl:COM-490,epfl-cs-msc
uns-pmf:I021,epfl:CS-420,epfl-cs-msc
uns-pmf:I021,epfl:CS-428,epfl-cs-msc
uns-pmf:I021,epfl:CS-450,epfl-cs-msc
uns-pmf:I021,epfl:CS-453,epfl-cs-msc
uns-pmf:I021,epfl:CS-460,epfl-cs-msc
uns-pmf:I021,epfl:CS-462,epfl-cs-msc
uns-pmf:I021,epfl:CS-476,epfl-cs-msc
uns-pmf:I021,epfl:EE-452,epfl-cs-msc
uns-pmf:I032,epfl:CS-412,epfl-cs-msc
uns-pmf:I032,epfl:CS-420,epfl-cs-msc
uns-pmf:I032,epfl:CS-428,epfl-cs-msc
uns-pmf:I032,epfl:CS-450,epfl-cs-msc
uns-pmf:I032,epfl:CS-453,epfl-cs-msc
uns-pmf:I032,epfl:CS-462,epfl-cs-msc
uns-pmf:I032,epfl:CS-473,epfl-cs-msc
uns-pmf:I032,epfl:CS-476,epfl-cs-msc
uns-pmf:I032,epfl:CS-522,epfl-cs-msc
uns-pmf:I034,epfl:COM-512,epfl-cs-msc
uns-pmf:I034,epfl:COM-516,epfl-cs-msc
uns-pmf:I034,epfl:CS-448,epfl-cs-msc
uns-pmf:I034,epfl:CS-450,epfl-cs-msc
uns-pmf:I034,epfl:CS-455,epfl-cs-msc
uns-pmf:I034,epfl:CS-524,epfl-cs-msc
uns-pmf:I034,epfl:EE-452,epfl-cs-msc
uns-pmf:I034,epfl:MATH-483,epfl-cs-msc
uns-pmf:I034,epfl:PHYS-512,epfl-cs-msc
uns-pmf:I052,epfl:COM-502,epfl-cs-msc
uns-pmf:I052,epfl:CS-420,epfl-cs-msc
uns-pmf:I052,epfl:CS-428,epfl-cs-msc
uns-pmf:I052,epfl:CS-438,epfl-cs-msc
uns-pmf:I052,epfl:CS-460,epfl-cs-msc
uns-pmf:I052,epfl:CS-462,epfl-cs-msc
uns-pmf:I052,epfl:CS-473,epfl-cs-msc
uns-pmf:I052,epfl:CS-489,epfl-cs-msc
uns-pmf:I052,epfl:CS-522,epfl-cs-msc
uns-pmf:I052,epfl:CS-550,epfl-cs-msc
uns-pmf:I052,epfl:ENG-466,epfl-cs-msc
uns-pmf:I052,epfl:MATH-352,epfl-cs-msc
uns-pmf:I111,epfl:COM-501,epfl-cs-msc
uns-pmf:I111,epfl:CS-428,epfl-cs-msc
uns-pmf:I111,epfl:CS-459,epfl-cs-msc
uns-pmf:I111,epfl:CS-462,epfl-cs-msc
uns-pmf:I111,epfl:CS-550,epfl-cs-msc
uns-pmf:I111,epfl:MATH-483,epfl-cs-msc
uns-pmf:I111,epfl:MGT-435,epfl-cs-msc
uns-pmf:I143,epfl:COM-502,epfl-cs-msc
uns-pmf:I143,epfl:CS-433,epfl-cs-msc
uns-pmf:I143,epfl:CS-439,epfl-cs-msc
uns-pmf:I143,epfl:CS-450,epfl-cs-msc
uns-pmf:I143,epfl:CS-455,epfl-cs-msc
uns-pmf:I143,epfl:CS-526,epfl-cs-msc
uns-pmf:I143,epfl:EE-554,epfl-cs-msc
uns-pmf:I143,epfl:PHYS-512,epfl-cs-msc
uns-pmf:I151,epfl:CS-412,epfl-cs-msc
